ID,Tweet,Location
1581417430340943873-,"molto strano è triste rendersi conto ad un certo punto di aver accettato e normalizzato comportamenti che normali non sono e aver passato anni ad accontentarsi di briciole di affetto e attenzione, quando probabilmente mi meritavo di più",None
1581410533659791360-," ero proprio convinta di questa cosa, sono molto triste in questo momento 😭 ma anche curiosa di sapere chi è la coinquilina ✨",None
1581409461746294784-,"È arrivato quel giorno che di solito è molto triste per me, peró eccoci qui, 18 anni.
Il mio regalo ce l'ho, e sono loro, che sono entrati nella mia vita regalandomi ciò che per me è più prezioso, spero tanto di potergli dire il bene che voglio ad entrambi🤍💜 ",None
1581401014413889537-,Sono molto triste per questa sconfitta che ci tocca profondamente ,None
1581396012458860544-,domani é il compleanno di Charles ma non ci sarà Carlos a festeggiare con lui io sono molto triste 💔 ,None
1581385235102515200-,io molto triste perché la tipa dello stand thai tra l'altro stupenda 🥺 mi ha fatto aspettare mezz'ora per farmi provare il vestito e poi mi ha detto di aspettarla altri 20 minuti ma sono dovuta andare via,None
1581382896819896320-,sono molto triste penso mi metterò a letto a fissare il muro piangendo finché non dormo,None
1581379050941009921-,No vabbè iniziato questo Kdrama ed innamorata persa del second lead che non sarà mai scelerò e credevo fosse il main lead invece no. Adesso sono molto offesa e triste. Maledetta second lead syndrome dei Kdrama.   ,None
1581375189153353729-,sono molto triste :(,None
1581361975325753344-,((Comunque sono molto triste perché mi meritavo di vedere i Kasabian domani ho proprio bisogno di sentire dal vivo band che mi piacciono proprio tanto come loro 😩😩😩)),None
1581346472527683586-,spesso sono molto triste poi mi ricordo che louis tomlinson mi ha fatto il pollice in su e sto bene,None
1581338730442657792-,sono molto triste di sapere che egonu avrebbe lasciato la squadra italiana di pallavolo :(,None
1581336829223403523-,"Sono molto triste perché se dovesse realmente accadere perderemmo una grandissima persona però rispetterei la sua decisione perché come ho già detto, non la meritiamo proprio. ",None
1581333740348768257-,C'è una delle mie piante che sinceramente mi sembra super in pena vicinissima alla m0rte non so che fare per farla riprendere non so se arrendermi o cosa veramente sono molto triste,None
1581324917944946689-,"sono un po’ triste perché mi sono allontanata nell’ultimo periodo da una persona a cui ero molto legata, mi dispiace perché le voglio un gran bene. purtroppo gestire i rapporti sta diventando sempre più difficile",None
1581306290608799744-,"Oggi sono molto triste. 

Quella tristezza che viene fuori di botto, con gli interessi.

Che giornata di merda.",None
1581302547536826372-,ha detto un sacco di cose carinette io sono molto triste ,None
1581298104506413057-,sono molto triste che domani non lo rivedremo ma la prossima settimana sarà uno scatafascio vorrei fermarmi qui ,None
1581294166163660800-,"sono triste perché lei è strasimpatica e molto intelligente..l’ho vista presentare il romanzo di francesca maccani, nella quale ho riscontrato simili problemi di stile:",None
1581287781795393536-,domani non vedremo questa coreografia sono molto triste  ,None
1581280229279924224-,questo mio nuovo silly little layout rendendomi molto triste it may be cringe or whatever ma sono i miei 7 amichetti i love them a Lot ☹️,None
1581263550680420352-,sono molto triste ora ,None
1581262782749503494-,"  Sono d'accordo!! Il PD distrutto perché colonizzato da quello che all'inizio era un avversario, m5s vs PD.. Credo però che fosse nei piani di grillo, distruggere la sinistra e prenderne il posto!! Una storia molto triste!!",None
1580609464096690178-,voglio dormire e non svegliarmi mai più,None
1580501362982367232-,"Buongiorno, speravo di andare a dormire e svegliarmi scoprendo che questo Jungkook lo avevo solo sognato e invece no, purtroppo è reale e io non mi riprenderò mai ",None
1580490630345940998-,voglio andare a dormire e non svegliarmi mai più,None
1580405635941732353-,"Ma perché non sono andata a dormire
DOVEVO MORIRE NEL SONNO E NON SVEGLIARMI MAI PIÙ ",None
1578713963260686336-,"Tutto ciò di cui ho bisogno è dormire e non svegliarmi mai più, letteralmente",None
1578084576097861637-,voglio dormire e non svegliarmi mai più,None
1577846278112919553-,"Io ho dormito un sacco.
Spero non sia presagio di un qualcosa di brutto perché non mi è mai successo di dormire sia il pomeriggio che la sera senza mai svegliarmi.

Chissà cosa hanno fatto ieri in ospedale",None
1577419596524818434-,"Non riesco più a liberarmi dei miei pensieri intrusivi, vorrei dormire e non svegliarmi mai più",None
1577029638999928832-,Vabbè raga è arrivata per me l'ora di andare a dormire e non svegliarmi mai più ok ,None
1575437149037551616-, Come mai hai dormito poco? A me piace svegliarmi presto e quando non vado a dormire tardi succede spesso però evidentemente avevo ancora sonno,None
1574495558705758209-,la voglia di andare a dormire e non svegliarmi mai più,None
1574323196408389632-,"io sinceramente vorrei tornare a dormire e non svegliarmi mai più, il sonno eterno è molto allettante in questo momento",None
1574312543312551938-,Che voglia di andare a dormire e non svegliarmi mai più,None
1574283535791398919-,"accendo il telefono, vedo tutti parlare della vittoria della Meloni, spengo il telefono e mi rimetto a dormire sperando di non svegliarmi mai più.",None
1574276335744471040-,La voglia di dormire e non svegliarmi mai più ,None
1574260418708660225-,"wow, non avrei mai immaginato di andare a dormire nel 2022 e svegliarmi nel 1922",None
1574220527844982784-,SONO DISTRUTTA Io ho bisogno di dormire per 24h e non svegliarmi mai piu,None
